Date,HomeTeam,AwayTeam,ActualResult,HomeOdds,DrawOdds,AwayOdds,HomePred,DrawPred,AwayPred,BetPlaced,BankrollBefore,BetType,BetAmount,Edge,BetResult,Profit,BankrollAfter
2023-01-20,RB Leipzig,Bayern Munich,D,3.6,4.33,1.85,0.0601355,0.11152382,0.8283407,True,1000.0,A,12.527772047940424,0.31482719569592876,False,-12.527772047940424,987.4722279520596
2023-01-21,Wolfsburg,Freiburg,H,2.55,3.4,2.75,0.9875909,0.009785937,0.0026231492,True,987.4722279520596,H,19.346260514295366,0.6150418893963683,True,29.986703797157816,1017.4589317492174
2023-01-21,Union Berlin,Hoffenheim,H,2.25,3.4,3.2,0.03346461,0.16083616,0.80569917,True,1017.4589317492174,A,14.598106189882598,0.5088241696357727,False,-14.598106189882598,1002.8608255593348
2023-01-21,FC Koln,Werder Bremen,H,2.25,3.8,2.9,0.95917654,0.030422159,0.010401262,True,1002.8608255593348,H,18.583367567996117,0.5369543181525337,True,23.229209459995147,1026.09003501933
2023-01-21,Bochum,Hertha,H,2.38,3.5,2.9,0.9032672,0.07766407,0.019068703,True,1026.09003501933,H,17.0981687255459,0.504107540895959,True,23.59547284125334,1049.6855078605831
2023-01-22,Dortmund,Augsburg,H,1.3,6.0,8.0,0.9658689,0.015220565,0.018910505,True,1049.6855078605831,H,17.888709450220045,0.23509965951626133,True,5.3666128350660145,1055.0521206956491
2023-01-22,M'gladbach,Leverkusen,A,2.63,3.8,2.45,0.11573318,0.113957785,0.770309,True,1055.0521206956491,A,12.911756666071224,0.38255386936421304,True,18.722047165803275,1073.7741678614525
2023-01-24,Schalke 04,RB Leipzig,A,5.75,4.33,1.53,0.0017666466,0.009494714,0.98873866,True,1073.7741678614525,A,20.777333373829673,0.36782362336426777,True,11.011986688129728,1084.7861545495823
2023-01-24,Hertha,Wolfsburg,A,3.0,3.4,2.3,0.005044802,0.02239194,0.97256327,True,1084.7861545495823,A,20.64257119548878,0.5595197884932808,True,26.835342554135412,1111.6214971037177
2023-01-25,Mainz,Dortmund,A,2.9,3.6,2.3,0.05461665,0.16268651,0.78269684,True,1111.6214971037177,A,13.684962568908661,0.36965336488640826,True,17.790451339581256,1129.411948443299
2023-01-25,Leverkusen,Bochum,H,1.4,5.25,6.5,0.9173786,0.060152758,0.022468671,True,1129.411948443299,H,16.056287572681878,0.23880717584065025,True,6.42251502907275,1135.8344634723717
2023-01-28,Bayern Munich,Ein Frankfurt,D,1.33,6.0,7.5,0.88372403,0.11355576,0.0027201993,True,1135.8344634723717,H,12.071026722181108,0.16943831954683586,False,-12.071026722181108,1123.7634367501905
2023-01-28,Werder Bremen,Wolfsburg,H,3.2,3.6,2.15,0.7280217,0.13750647,0.13447188,True,1123.7634367501905,H,13.583943931104995,0.43114668130874634,True,29.884676648430993,1153.6481133986215
2023-01-28,Mainz,Bochum,H,1.7,4.0,4.75,0.9499737,0.046224684,0.0038015947,True,1153.6481133986215,H,20.269771854289846,0.3911501730189604,True,14.18884029800289,1167.8369536966243
