Date,Season,Matchday,HomeTeam,AwayTeam,FTHG,FTAG
2018-08-24,2018/2019,1,Bayern Munich,Hoffenheim,3,1
2018-08-25,2018/2019,1,Fortuna Dusseldorf,Augsburg,1,2
2018-08-25,2018/2019,1,Freiburg,Ein Frankfurt,0,2
2018-08-25,2018/2019,1,Hertha,Nurnberg,1,0
2018-08-25,2018/2019,1,M'gladbach,Leverkusen,2,0
2018-08-25,2018/2019,1,Werder Bremen,Hannover,1,1
2018-08-25,2018/2019,1,Wolfsburg,Schalke 04,2,1
2018-08-26,2018/2019,1,Mainz,Stuttgart,1,0
2018-08-26,2018/2019,1,Dortmund,RB Leipzig,4,1
2018-08-31,2018/2019,2,Hannover,Dortmund,0,0
2018-09-01,2018/2019,2,Augsburg,M'gladbach,1,1
2018-09-01,2018/2019,2,Ein Frankfurt,Werder Bremen,1,2
2018-09-01,2018/2019,2,Hoffenheim,Freiburg,3,1
2018-09-01,2018/2019,2,Leverkusen,Wolfsburg,1,3
2018-09-01,2018/2019,2,Nurnberg,Mainz,1,1
2018-09-01,2018/2019,2,Stuttgart,Bayern Munich,0,3
2018-09-02,2018/2019,2,RB Leipzig,Fortuna Dusseldorf,1,1
2018-09-02,2018/2019,2,Schalke 04,Hertha,0,2
2018-09-14,2018/2019,3,Dortmund,Ein Frankfurt,3,1
2018-09-15,2018/2019,3,Bayern Munich,Leverkusen,3,1
2018-09-15,2018/2019,3,Fortuna Dusseldorf,Hoffenheim,2,1
2018-09-15,2018/2019,3,Mainz,Augsburg,2,1
2018-09-15,2018/2019,3,M'gladbach,Schalke 04,2,1
2018-09-15,2018/2019,3,RB Leipzig,Hannover,3,2
2018-09-15,2018/2019,3,Wolfsburg,Hertha,2,2
2018-09-16,2018/2019,3,Freiburg,Stuttgart,3,3
2018-09-16,2018/2019,3,Werder Bremen,Nurnberg,1,1
2018-09-21,2018/2019,4,Stuttgart,Fortuna Dusseldorf,0,0
2018-09-22,2018/2019,4,Wolfsburg,Freiburg,1,3
2018-09-22,2018/2019,4,Schalke 04,Bayern Munich,0,2
2018-09-22,2018/2019,4,Nurnberg,Hannover,2,0
2018-09-22,2018/2019,4,Augsburg,Werder Bremen,2,3
2018-09-22,2018/2019,4,Hertha,M'gladbach,4,2
2018-09-22,2018/2019,4,Hoffenheim,Dortmund,1,1
2018-09-23,2018/2019,4,Ein Frankfurt,RB Leipzig,1,1
2018-09-23,2018/2019,4,Leverkusen,Mainz,1,0
2018-09-25,2018/2019,5,Werder Bremen,Hertha,3,1
2018-09-25,2018/2019,5,Hannover,Hoffenheim,1,3
2018-09-25,2018/2019,5,Freiburg,Schalke 04,1,0
2018-09-25,2018/2019,5,Bayern Munich,Augsburg,1,1
2018-09-26,2018/2019,5,Dortmund,Nurnberg,7,0
2018-09-26,2018/2019,5,Fortuna Dusseldorf,Leverkusen,1,2
2018-09-26,2018/2019,5,Mainz,Wolfsburg,0,0
2018-09-26,2018/2019,5,M'gladbach,Ein Frankfurt,3,1
2018-09-26,2018/2019,5,RB Leipzig,Stuttgart,2,0
2018-09-28,2018/2019,6,Hertha,Bayern Munich,2,0
2018-09-29,2018/2019,6,Wolfsburg,M'gladbach,2,2
2018-09-29,2018/2019,6,Stuttgart,Werder Bremen,2,1
2018-09-29,2018/2019,6,Schalke 04,Mainz,1,0
2018-09-29,2018/2019,6,Leverkusen,Dortmund,2,4
2018-09-29,2018/2019,6,Hoffenheim,RB Leipzig,1,2
2018-09-29,2018/2019,6,Nurnberg,Fortuna Dusseldorf,3,0
2018-09-30,2018/2019,6,Augsburg,Freiburg,4,1
2018-09-30,2018/2019,6,Ein Frankfurt,Hannover,4,1
2018-10-05,2018/2019,7,Werder Bremen,Wolfsburg,2,0
2018-10-06,2018/2019,7,Mainz,Hertha,0,0
2018-10-06,2018/2019,7,Hannover,Stuttgart,3,1
2018-10-06,2018/2019,7,Dortmund,Augsburg,4,3
2018-10-06,2018/2019,7,Bayern Munich,M'gladbach,0,3
2018-10-06,2018/2019,7,Fortuna Dusseldorf,Schalke 04,0,2
2018-10-07,2018/2019,7,Freiburg,Leverkusen,0,0
2018-10-07,2018/2019,7,Hoffenheim,Ein Frankfurt,1,2
2018-10-07,2018/2019,7,RB Leipzig,Nurnberg,6,0
2018-10-19,2018/2019,8,Ein Frankfurt,Fortuna Dusseldorf,7,1
2018-10-20,2018/2019,8,Nurnberg,Hoffenheim,1,3
2018-10-20,2018/2019,8,Augsburg,RB Leipzig,0,0
2018-10-20,2018/2019,8,Leverkusen,Hannover,2,2
2018-10-20,2018/2019,8,Schalke 04,Werder Bremen,0,2
2018-10-20,2018/2019,8,Stuttgart,Dortmund,0,4
2018-10-20,2018/2019,8,Wolfsburg,Bayern Munich,1,3
2018-10-21,2018/2019,8,Hertha,Freiburg,1,1
2018-10-21,2018/2019,8,M'gladbach,Mainz,4,0
2018-10-26,2018/2019,9,Freiburg,M'gladbach,3,1
2018-10-27,2018/2019,9,Mainz,Bayern Munich,1,2
2018-10-27,2018/2019,9,Hoffenheim,Stuttgart,4,0
2018-10-27,2018/2019,9,Hannover,Augsburg,1,2
2018-10-27,2018/2019,9,Fortuna Dusseldorf,Wolfsburg,0,3
2018-10-27,2018/2019,9,Dortmund,Hertha,2,2
2018-10-28,2018/2019,9,Nurnberg,Ein Frankfurt,1,1
2018-10-28,2018/2019,9,RB Leipzig,Schalke 04,0,0
2018-10-28,2018/2019,9,Werder Bremen,Leverkusen,2,6
2018-11-02,2018/2019,10,Stuttgart,Ein Frankfurt,0,3
2018-11-03,2018/2019,10,Wolfsburg,Dortmund,0,1
2018-11-03,2018/2019,10,Schalke 04,Hannover,3,1
2018-11-03,2018/2019,10,Leverkusen,Hoffenheim,1,4
2018-11-03,2018/2019,10,Hertha,RB Leipzig,0,3
2018-11-03,2018/2019,10,Bayern Munich,Freiburg,1,1
2018-11-03,2018/2019,10,Augsburg,Nurnberg,2,2
2018-11-04,2018/2019,10,Mainz,Werder Bremen,2,1
2018-11-04,2018/2019,10,M'gladbach,Fortuna Dusseldorf,3,0
2018-11-09,2018/2019,11,Hannover,Wolfsburg,2,1
2018-11-10,2018/2019,11,Werder Bremen,M'gladbach,1,3
2018-11-10,2018/2019,11,Nurnberg,Stuttgart,0,2
2018-11-10,2018/2019,11,Hoffenheim,Augsburg,2,1
2018-11-10,2018/2019,11,Freiburg,Mainz,1,3
2018-11-10,2018/2019,11,Fortuna Dusseldorf,Hertha,4,1
2018-11-10,2018/2019,11,Dortmund,Bayern Munich,3,2
2018-11-11,2018/2019,11,Ein Frankfurt,Schalke 04,3,0
2018-11-11,2018/2019,11,RB Leipzig,Leverkusen,3,0
2018-11-23,2018/2019,12,Leverkusen,Stuttgart,2,0
2018-11-24,2018/2019,12,Augsburg,Ein Frankfurt,1,3
2018-11-24,2018/2019,12,Bayern Munich,Fortuna Dusseldorf,3,3
2018-11-24,2018/2019,12,Hertha,Hoffenheim,3,3
2018-11-24,2018/2019,12,Mainz,Dortmund,1,2
2018-11-24,2018/2019,12,Schalke 04,Nurnberg,5,2
2018-11-24,2018/2019,12,Wolfsburg,RB Leipzig,1,0
2018-11-25,2018/2019,12,Freiburg,Werder Bremen,1,1
2018-11-25,2018/2019,12,M'gladbach,Hannover,4,1
2018-11-30,2018/2019,13,Fortuna Dusseldorf,Mainz,0,1
