Date,Season,Matchday,HomeTeam,AwayTeam,FTHG,FTAG
2013-08-09,2013/2014,1,Bayern Munich,M'gladbach,3,1
2013-08-10,2013/2014,1,Augsburg,Dortmund,0,4
2013-08-10,2013/2014,1,Braunschweig,Werder Bremen,0,1
2013-08-10,2013/2014,1,Hannover,Wolfsburg,2,0
2013-08-10,2013/2014,1,Hertha,Ein Frankfurt,6,1
2013-08-10,2013/2014,1,Hoffenheim,Nurnberg,2,2
2013-08-10,2013/2014,1,Leverkusen,Freiburg,3,1
2013-08-11,2013/2014,1,Mainz,Stuttgart,3,2
2013-08-11,2013/2014,1,Schalke 04,Hamburg,3,3
2013-08-17,2013/2014,2,Wolfsburg,Schalke 04,4,0
2013-08-17,2013/2014,2,Werder Bremen,Augsburg,1,0
2013-08-17,2013/2014,2,Stuttgart,Leverkusen,0,1
2013-08-17,2013/2014,2,Freiburg,Mainz,1,2
2013-08-17,2013/2014,2,Hamburg,Hoffenheim,1,5
2013-08-17,2013/2014,2,Ein Frankfurt,Bayern Munich,0,1
2013-08-17,2013/2014,2,M'gladbach,Hannover,3,0
2013-08-18,2013/2014,2,Dortmund,Braunschweig,2,1
2013-08-18,2013/2014,2,Nurnberg,Hertha,2,2
2013-08-23,2013/2014,3,Dortmund,Werder Bremen,1,0
2013-08-24,2013/2014,3,Leverkusen,M'gladbach,4,2
2013-08-24,2013/2014,3,Mainz,Wolfsburg,2,0
2013-08-24,2013/2014,3,Hoffenheim,Freiburg,3,3
2013-08-24,2013/2014,3,Bayern Munich,Nurnberg,2,0
2013-08-24,2013/2014,3,Hannover,Schalke 04,2,1
2013-08-24,2013/2014,3,Hertha,Hamburg,1,0
2013-08-25,2013/2014,3,Augsburg,Stuttgart,2,1
2013-08-25,2013/2014,3,Braunschweig,Ein Frankfurt,0,2
2013-08-27,2013/2014,4,Freiburg,Bayern Munich,1,1
2013-08-31,2013/2014,4,Wolfsburg,Hertha,2,0
2013-08-31,2013/2014,4,Schalke 04,Leverkusen,2,0
2013-08-31,2013/2014,4,Nurnberg,Augsburg,0,1
2013-08-31,2013/2014,4,Hannover,Mainz,4,1
2013-08-31,2013/2014,4,Hamburg,Braunschweig,4,0
2013-08-31,2013/2014,4,M'gladbach,Werder Bremen,4,1
2013-09-01,2013/2014,4,Ein Frankfurt,Dortmund,1,2
2013-09-01,2013/2014,4,Stuttgart,Hoffenheim,6,2
2013-09-13,2013/2014,5,Hertha,Stuttgart,0,1
2013-09-14,2013/2014,5,Mainz,Schalke 04,0,1
2013-09-14,2013/2014,5,Werder Bremen,Ein Frankfurt,0,3
2013-09-14,2013/2014,5,Leverkusen,Wolfsburg,3,1
2013-09-14,2013/2014,5,Augsburg,Freiburg,2,1
2013-09-14,2013/2014,5,Bayern Munich,Hannover,2,0
2013-09-14,2013/2014,5,Dortmund,Hamburg,6,2
2013-09-15,2013/2014,5,Braunschweig,Nurnberg,1,1
2013-09-15,2013/2014,5,Hoffenheim,M'gladbach,2,1
2013-09-20,2013/2014,6,M'gladbach,Braunschweig,4,1
2013-09-21,2013/2014,6,Hamburg,Werder Bremen,0,2
2013-09-21,2013/2014,6,Hannover,Augsburg,2,1
2013-09-21,2013/2014,6,Mainz,Leverkusen,1,4
2013-09-21,2013/2014,6,Nurnberg,Dortmund,1,1
2013-09-21,2013/2014,6,Schalke 04,Bayern Munich,0,4
2013-09-21,2013/2014,6,Wolfsburg,Hoffenheim,2,1
2013-09-22,2013/2014,6,Freiburg,Hertha,1,1
2013-09-22,2013/2014,6,Stuttgart,Ein Frankfurt,1,1
2013-09-27,2013/2014,7,Augsburg,M'gladbach,2,2
2013-09-28,2013/2014,7,Leverkusen,Hannover,2,0
2013-09-28,2013/2014,7,Hoffenheim,Schalke 04,3,3
2013-09-28,2013/2014,7,Hertha,Mainz,3,1
2013-09-28,2013/2014,7,Dortmund,Freiburg,5,0
2013-09-28,2013/2014,7,Bayern Munich,Wolfsburg,1,0
2013-09-28,2013/2014,7,Ein Frankfurt,Hamburg,2,2
2013-09-29,2013/2014,7,Braunschweig,Stuttgart,0,4
2013-09-29,2013/2014,7,Werder Bremen,Nurnberg,3,3
2013-10-04,2013/2014,8,Hannover,Hertha,1,1
2013-10-05,2013/2014,8,Wolfsburg,Braunschweig,0,2
2013-10-05,2013/2014,8,Stuttgart,Werder Bremen,1,1
2013-10-05,2013/2014,8,Schalke 04,Augsburg,4,1
2013-10-05,2013/2014,8,M'gladbach,Dortmund,2,0
2013-10-05,2013/2014,8,Leverkusen,Bayern Munich,1,1
2013-10-05,2013/2014,8,Mainz,Hoffenheim,2,2
2013-10-06,2013/2014,8,Freiburg,Ein Frankfurt,1,1
2013-10-06,2013/2014,8,Nurnberg,Hamburg,0,5
2013-10-18,2013/2014,9,Hoffenheim,Leverkusen,1,2
2013-10-19,2013/2014,9,Hertha,M'gladbach,1,0
